"stationId","name","lat","lon"
"041","Ympyrätalo","60.180863","24.9494"
"162","Leppäsuonaukio","60.16957343209","24.92659049777"
"283","Alakiventie","60.21985096601641","25.077470244052627"
"042","Haapaniemenkatu","60.1831601181109","24.9551952848703"
"163","Lehtisaarentie","60.1818132200983","24.8504396679317"
"284","Myllypuro (M)","60.22408646778726","25.075395792228694"
"043","Karhupuisto","60.1842833","24.9526763"
"285","Orpaanporras","60.22356519670723","25.0654218381558"
"044","Sörnäinen (M)","60.187736","24.96098"
"286","Mamsellimyllynkatu","60.21825196984328","25.05910387617357"
"045","Brahen kenttä","60.1868618","24.9509168"
"046","Diakoniapuisto","60.186301","24.942749"
"047","Vanha Kauppahalli","60.165343","24.953535"
"048","Mastokatu","60.1647545","24.9674861"
"049","Annankatu","60.16345894291","24.94177084206"
"290","Vallilan varikko","60.195225","24.962832"
"291","Itäkeskus Metrovarikko","60.211446","25.065816"
"050","Melkonkuja","60.1498127","24.8861094"
"292","Koskelan varikko","60.212701","24.969956"
"051","Itälahdenkatu","60.15066","24.8812502"
"293","Korkeasaari","60.1799061407845","24.9825269338027"
"052","Heikkilänaukio","60.1540763","24.8793159"
"053","Heikkiläntie","60.156817","24.8850653"
"054","Gyldenintie","60.1583842","24.8766658"
"055","Puistokaari","60.16169596138","24.85986626853"
"056","Luoteisväylä","60.1654485","24.8601992"
"057","Lauttasaaren ostoskeskus","60.1603306","24.8815441"
"058","Lauttasaarensilta","60.1611858260783","24.8899154000946"
"059","Salmisaarenranta","60.16478138043","24.90096080349"
"060","Kaapelitehdas","60.1618133723859","24.9065572669725"
"061","Länsisatamankatu","60.1589276","24.909692"
"062","Messitytönkatu","60.1610901","24.9158734"
"063","Jätkäsaarenlaituri","60.1619311","24.9214896"
"064","Tyynenmerenkatu","60.156838","24.920661"
"065","Hernesaarenranta","60.15352968178976","24.93125406706023"
"066","Ehrenströmintie","60.155309","24.9591271"
"067","Perämiehenkatu","60.1600875931318","24.9340656851357"
"068","Albertinkatu","60.1618359","24.9368179"
"069","Kalevankatu","60.166213","24.93138"
"070","Sammonpuistikko","60.1731473","24.9224112"
"071","Hietaniemenkatu","60.1733331557525","24.907670424697"
"072","Eteläinen Hesperiankatu","60.17558787407832","24.915662751685453"
"073","Kesäkatu","60.1792967","24.9132504"
"074","Rajasaarentie","60.183137","24.911127"
"075","Korjaamo","60.1838677","24.9198371"
"076","Olympiastadion","60.1845055","24.9249741"
"077","Nordenskiöldinaukio","60.18523632967096","24.91724984112588"
"078","Messeniuksenkatu","60.1878352","24.9180102"
"079","Uimastadion","60.1892172","24.9292286"
"080","Jäähalli","60.1894025","24.9205978"
"081","Stenbäckinkatu","60.1883091","24.9123717"
"082","Töölöntulli","60.19095693226663","24.912827135427882"
"083","Meilahden sairaala","60.1902195","24.9083351"
"084","Paciuksenkatu","60.19120215596817","24.899910050364525"
"085","Jalavatie","60.1934696","24.905889"
"086","Kuusitie","60.1952452","24.9018997"
"087","Kustaankatu","60.1882752174","24.95597593163"
"088","Kiskontie","60.1989402","24.9012997"
"089","Tilkanvierto","60.1975329","24.899261"
"090","Paciuksenkaari","60.1944475","24.8911179"
"091","Seurasaari","60.188399","24.8847362"
"092","Saunalahdentie","60.1926305828","24.87922144235"
"093","Torpanranta","60.1948358","24.8713963"
"094","Laajalahden aukio","60.19793090756802","24.876221716500662"
"095","Munkkiniemen aukio","60.1967196","24.8840917"
"096","Huopalahdentie","60.1996653","24.8836209"
"098","Ulvilantie","60.2038803","24.8708833"
"099","Muusantori","60.2071193","24.8559544"
"1205","Pähkinärinne library","60.2565987","24.805655"
"1203","Koivuvaarankuja","60.2546414","24.8145545"
"1201","Nuijatie","60.259273","24.8300791"
"900","Orionintie","60.180118","24.771826"
"901","Outotec","60.163412","24.742219"
"902","Derby Business Park","60.209017","24.835356"
"1209","Ainontie","60.2710845","24.8038507"
"1207","Lammasrinne","60.2618736","24.8065774"
